d_mean,d_std,a_abs,a_std,d_diff,v_abs,ttc_mean,label,sigma_opt
0.139045,0.022882,0.010975,0.012719,0.006,0.046915,15.0,ÉLOIGNEMENT,2.5
0.18039,0.001031,0.01163,0.013175,0.0004,0.003735,15.0,STATIONNAIRE,0.1
0.076155,0.024364,0.009465,0.011688,0.0133,0.04188,15.0,ÉLOIGNEMENT,2.5
0.019275,0.004641,0.008875,0.010625,0.0016,0.00909,15.0,COLLISION RISK,0.1
0.16588,0.022915,0.024925,0.059168,0.014,0.041985,0.7491,COLLISION RISK,2.5
0.08555,0.021345,0.009465,0.011766,0.0133,0.043695,15.0,STATIONNAIRE,2.5
0.18103,0.000171,0.010465,0.01195,0.0001,0.00099,15.0,STATIONNAIRE,0.1
0.18676,0.00263,0.0112,0.014213,0.0006,0.00198,15.0,STATIONNAIRE,0.1
0.182555,0.00012,0.007405,0.009925,0.0001,0.002425,15.0,STATIONNAIRE,0.1
0.1695,0.007876,0.00778,0.00958,0.0048,0.018425,3.3114,APPROCHE,1.0
0.13687153875833175,0.021373662151489944,0.0113343092043738,0.01111526090018253,0.007563976998902444,0.0481405309607374,14.61062130344021,ÉLOIGNEMENT,2.5
0.10027807365714798,0.04629995405537366,0.009096821345601934,0.01285108537922475,0.006035659544846571,0.09166318380472122,0.7463261096057549,COLLISION RISK,5.0
0.09299,0.00412,0.00849,0.009655,0.0022,0.02697,15.0,STATIONNAIRE,1.0
0.1981737442623284,0.015917477516498642,0.007703551970646682,0.010049030896581105,0.02761689073063866,0.06211149951549148,14.330280911784548,STATIONNAIRE,2.5
0.10788421447870425,0.04555057591449981,0.009627987766370031,0.015095915978079601,0.01848390623972869,0.09192860805063147,15.0,STATIONNAIRE,5.0
0.000275,0.003972,0.01152,0.015328,0.0012,0.022085,15.0,COLLISION RISK,1.0
0.06964450340912748,0.02559157664898067,0.010948875151980876,0.012084210306845016,0.014312621573948435,0.04982610335013178,14.783266004932543,STATIONNAIRE,2.5
0.18051,0.000228,0.00916,0.011569,0.0001,0.00054,15.0,APPROCHE,0.1
0.065505,0.001561,0.01288,0.015751,0.0026,0.016875,4.606,APPROCHE,0.1
0.195215,0.001166,0.009555,0.011587,0.0011,0.020055,15.0,STATIONNAIRE,0.1
0.18239,0.000253,0.008225,0.010702,0.0001,0.00301,15.0,STATIONNAIRE,0.1
0.011775,0.01601,0.007675,0.010207,0.0063,0.07699,-0.1106,COLLISION RISK,2.5
0.08066,0.05618,0.00888,0.01025,0.0161,0.09718,15.0,ÉLOIGNEMENT,5.0
0.09219,0.002207,0.0074,0.009117,0.0005,0.00688,15.0,STATIONNAIRE,0.1
0.07868,0.013341,0.00662,0.008387,0.0088,0.02962,2.4404,APPROCHE,1.0
0.10043521830875829,0.04006305912278303,0.010507291706909673,0.01210442075987433,0.012280923291986356,0.0995267943921339,0.7536435093863232,COLLISION RISK,5.0
0.17817,0.002207,0.008635,0.010737,0.0106,0.007035,1.1412,APPROCHE,0.1
0.180345,0.002118,0.00838,0.008776,0.0064,0.007125,1.9905,APPROCHE,0.1
0.20068,0.011502,0.009455,0.011245,0.0023,0.020125,9.3456,APPROCHE,1.0
0.180595,0.000712,0.012695,0.013281,0.0002,0.00208,15.0,STATIONNAIRE,0.1
0.026995,0.00119,0.01053,0.012203,0.0023,0.00614,15.0,COLLISION RISK,0.1
0.09131,0.010687,0.01157,0.014544,0.0036,0.03315,15.0,ÉLOIGNEMENT,1.0
0.10012370589462921,0.0374025759047627,0.05018293272004129,0.14709158696387456,0.023367496515495037,0.094530209472102,0.0,COLLISION RISK,5.0
0.13895479742661312,0.05249185095238795,0.024199629430400615,0.05781976948121006,0.018351196836039106,0.0800610804986319,0.9519505392673625,COLLISION RISK,5.0
0.17430791655601158,0.01977039840145236,0.015172443201701129,0.01578525332748537,0.007505047434161366,0.06133762842957891,15.0,ÉLOIGNEMENT,2.5
0.191225,0.010605,0.008215,0.010496,0.0038,0.010665,12.904,APPROCHE,1.0
0.18067,0.000276,0.00807,0.008894,0.0001,0.00112,15.0,STATIONNAIRE,0.1
0.18608,0.003239,0.011045,0.014498,0.0009,0.004435,15.0,STATIONNAIRE,0.1
0.04909107682672917,0.03758648103443302,0.011257975725718006,0.016111221781598243,0.013387140542063301,0.11769048776204678,0.12596129913257384,COLLISION RISK,5.0
0.026515,0.003861,0.00811,0.010441,0.0028,0.04597,0.9937,COLLISION RISK,1.0
0.174835,0.030819,0.011235,0.012632,0.011,0.103945,15.0,ÉLOIGNEMENT,2.5
0.14366,0.032451,0.05073,0.145899,0.0087,0.065515,0.7047,COLLISION RISK,5.0
0.179955,0.000307,0.009755,0.012626,0.0001,0.001465,15.0,STATIONNAIRE,0.1
0.01434,0.003342,0.008085,0.00943,0.0027,0.016835,15.0,COLLISION RISK,0.1
0.181265,0.00018,0.00824,0.009897,0.0001,0.001355,15.0,STATIONNAIRE,0.1
0.179225,0.000591,0.009495,0.0113,0.0002,0.003305,15.0,STATIONNAIRE,0.1
0.020975,0.010949,0.008725,0.009999,0.0175,0.023415,15.0,ÉLOIGNEMENT,1.0
0.065155,0.001475,0.011635,0.014142,0.0026,0.016185,4.8817,APPROCHE,0.1
0.12701146411414385,0.048325875762515166,0.025868475790353812,0.061593178135447804,0.02043786828659607,0.09354745015803413,0.04895504446974824,COLLISION RISK,5.0
0.190195,0.018051,0.0071,0.009133,0.0199,0.06778,15.0,ÉLOIGNEMENT,2.5
0.19557,0.002097,0.01116,0.012611,0.0017,0.02458,15.0,STATIONNAIRE,1.0
0.192535,0.006129,0.010935,0.01185,0.0031,0.037245,15.0,ÉLOIGNEMENT,1.0
0.11869,0.00679,0.00874,0.01081,0.0032,0.031095,9.3895,APPROCHE,1.0
0.027218595765326887,0.010179564049417155,0.007336243657888399,0.012091460359450303,0.01943890409256525,0.06703388716778992,0.5030564271625745,COLLISION RISK,2.5
0.06036,0.004138,0.01282,0.02228,0.0034,0.01383,1.2626,COLLISION RISK,0.1
0.09829,0.006417,0.01086,0.01372,0.0031,0.028095,15.0,ÉLOIGNEMENT,1.0
0.1112817431433574,0.059203842356403615,0.009728221510003956,0.01345138520360659,0.007546440107131382,0.11155392874125705,15.0,ÉLOIGNEMENT,5.0
0.0548874986193314,0.04577029625684146,0.00970860045337607,0.010695892362341725,0.022831434265892805,0.07379332821574895,15.0,ÉLOIGNEMENT,5.0
0.07791,0.011566,0.00845,0.009885,0.0072,0.044925,15.0,ÉLOIGNEMENT,1.0
0.09010862681193765,0.05572798841095615,0.022454855778317614,0.0584350593916428,0.002030328285120288,0.11153295186334673,0.14103211979249514,COLLISION RISK,5.0
0.18296,0.001346,0.011245,0.013094,0.0004,0.001875,15.0,STATIONNAIRE,0.1
0.15044854882477213,0.04859334657546646,0.011619645309078932,0.012378843045314458,0.014855731607496524,0.12355028347135552,14.98287064747537,ÉLOIGNEMENT,5.0
